index,marca,nombre,pegatina,anyo,km,combustible,cv,transmision,unico_dueno,ubicacion,longitud,anchura,altura,peso,maletero,deposito,velocidad_maxima,0a100,consumo,emisiones,numero_llaves,numero_extras,precio
3589,Seat,Seat Ibiza,C,2021,79065,Gasolina,110,MANUAL,True,Alicante,4.06,1.78,1.44,1134,1165,-,195,10.2,5.1,116,2,5,12314
3590,Mazda,Mazda Mazda3,ECO,2024,1395,Híbrido,150,AUTO,False,Santander,4.46,1.8,1.44,1299,1026,-,202,10.8,6.1,140,2,5,29800
3591,KIA,KIA Ceed Tourer,0_EMISIONES,2021,31447,Híbrido Enchufable,141,AUTO,False,Castellón,4.61,1.8,1.47,1608,1506,-,200,10.8,1.1,,1,5,18090
3592,Seat,Seat León,C,2019,87749,Gasolina,150,AUTO,True,Albacete,4.55,1.82,1.45,1294,1470,-,215,8.3,5.2,118,2,5,14752
3593,Volkswagen,Volkswagen Golf,C,2019,26976,Diésel,115,AUTO,False,Girona,4.26,1.79,1.49,1321,1270,-,198,10.5,5.2,104,2,5,21500
3594,Renault,Renault Scénic,C,2017,35865,Diésel,110,MANUAL,False,Girona,4.41,1.87,1.65,1430,,-,184,12.4,3.9,100,2,5,18990
3595,Citroën,Citroën C4 Cactus,C,2018,73380,Diésel,100,MANUAL,True,Almería,4.16,1.73,1.53,1070,1170,-,184,10.6,3.6,95,2,5,12900
3596,Peugeot,Peugeot Boxer,B,2014,160203,Diésel,110,MANUAL,False,Barcelona,4.96,2.05,2.25,1945,,-,145,6.8,180.0,,2,2,11900
3597,Skoda,Skoda Scala,C,2022,35238,Gasolina,110,AUTO,True,Castellón,4.36,1.79,1.47,1229,1410,-,198,5.7,107.0,,2,5,19700
3598,Hyundai,Hyundai Kona,C,2019,145417,Diésel,136,AUTO,False,Oviedo,4.17,1.8,1.57,1342,1143,-,191,10.2,4.1,111,2,5,16390
3599,Seat,Seat Ibiza,C,2021,84685,Gasolina,110,MANUAL,True,Albacete,4.06,1.78,1.44,1134,1165,-,195,10.2,5.1,116,1,5,12314
3600,Peugeot,Peugeot 208,C,2022,25187,Diésel,100,MANUAL,False,,4.06,1.75,1.43,1090,406,-,188,10.2,4.2,110,2,5,16300
3601,Mercedes,Mercedes Clase C,ECO,2016,102770,Híbrido Enchufable,279,AUTO,False,Madrid,4.69,1.81,1.44,1780,,-,250,5.9,2.1,31,2,5,25490
3602,Renault,Renault Captur,C,2019,96205,Diésel,90,MANUAL,False,Córdoba,4.12,1.78,1.57,1323,1235,-,171,13.1,4.2,111,1,5,14600
3603,Fiat,Fiat 500L,C,2018,105663,Diésel,120,MANUAL,True,Toledo,4.27,1.8,1.68,1380,1480,-,183,4.3,114.0,,2,5,13990
3604,Seat,Seat León,C,2019,92306,Gasolina,150,AUTO,True,Valencia,4.55,1.82,1.45,1294,1470,-,215,8.3,5.2,118,2,5,14628
3605,Seat,Seat Ibiza,C,2021,83443,Gasolina,95,MANUAL,True,Valencia,4.06,1.78,1.44,1134,1165,-,182,10.9,5.5,124,2,5,12190
3606,Renault,Renault Kadjar,C,2020,49521,Gasolina,160,AUTO,True,Valencia,4.49,1.84,1.61,1471,1478,-,210,9.3,5.5,131,2,5,23890
3607,Renault,Renault Clio,C,2022,46111,Gasolina,90,MANUAL,True,,4.05,1.8,1.44,1178,1069,-,180,12.2,5.2,117,1,5,10537
3608,Volvo,Volvo XC40,C,2022,16843,Gasolina,129,AUTO,True,Barcelona,4.43,1.86,1.65,1554,1328,-,180,10.9,7.3,165,2,5,31490
3609,Seat,Seat León,C,2018,114757,Gasolina,110,MANUAL,True,Madrid,4.28,1.82,1.46,1213,1210,-,194,9.9,4.9,114,1,5,15990
3610,Opel,Opel Grandland X PHEV,0_EMISIONES,2020,48706,Híbrido Enchufable,300,AUTO,False,Pontevedra,4.48,1.86,1.61,1875,1652,-,240,6.1,7.0,63,2,5,22490
3611,Toyota,Toyota Auris,ECO,2017,45981,Híbrido,136,AUTO,False,,4.33,1.76,1.48,1385,,-,180,10.9,3.9,91,2,5,16400
3612,Dacia,Dacia Sandero,ECO,2022,14262,GLP,101,MANUAL,False,,4.1,1.85,1.54,1154,1108,-,177,11.9,5.8,115,2,5,14990
3613,Hyundai,Hyundai Tucson,C,2017,41414,Gasolina,131,MANUAL,True,Madrid,4.47,1.85,1.66,1379,1503,-,182,11.5,6.3,147,2,5,16990
3614,Volkswagen,Volkswagen California,C,2024,1414,Diésel,150,MANUAL,True,Sevilla,4.9,1.9,1.99,2411,,-,,192.0,,,2,5,61990
3615,Mazda,Mazda Mazda6,C,2020,75983,Gasolina,145,MANUAL,True,Madrid,4.87,1.84,1.45,1370,,-,208,10.0,6.7,152,2,5,24990
3616,Mazda,Mazda CX-5,C,2020,50690,Gasolina,165,MANUAL,True,Málaga,4.55,1.84,1.68,1518,1620,-,201,10.3,7.1,160,2,5,23490
