index,marca,nombre,pegatina,anyo,km,combustible,cv,transmision,unico_dueno,ubicacion,longitud,anchura,altura,peso,maletero,deposito,velocidad_maxima,0a100,consumo,emisiones,numero_llaves,numero_extras,precio
0,Opel,Opel Corsa,C,2022,47707,Diésel,102,MANUAL,True,Almería,4.06,1.77,1.43,1165,,-,188,10.2,4.1,107,1,5,15700
1,Peugeot,Peugeot Rifter,C,2019,57194,Diésel,130,AUTO,True,Almería,4.4,1.85,1.82,1430,1355,-,179,4.3,114.0,,2,5,24900
2,Renault,Renault Kadjar,C,2017,66428,Diésel,110,MANUAL,False,Barcelona,4.45,1.84,1.61,1380,1478,-,182,11.9,3.8,99,2,5,17800
3,Dacia,Dacia Sandero,C,2016,48430,Gasolina,75,MANUAL,True,Madrid,4.06,1.73,1.52,941,1200,-,162,14.5,5.8,130,2,3,9300
4,Nissan,Nissan QASHQAI,C,2020,72209,Gasolina,160,AUTO,False,Málaga,4.39,1.81,1.59,1315,1598,-,198,9.9,6.9,156,2,5,21500
5,BMW,BMW X2,C,2018,123979,Diésel,150,AUTO,False,Barcelona,4.36,1.82,1.53,1575,1355,-,207,9.3,4.5,119,2,5,20900
6,KIA,KIA Stonic,C,2018,125737,Diésel,110,MANUAL,False,Murcia,4.14,1.76,1.52,1255,1155,-,175,11.3,4.2,109,2,5,15690
7,KIA,KIA Stonic,C,2019,130012,Gasolina,100,MANUAL,True,Zaragoza,4.14,1.76,1.52,1180,1155,-,179,10.8,6.1,139,2,5,13500
8,Volkswagen,Volkswagen T-Cross,C,2020,27769,Gasolina,150,AUTO,False,Madrid,4.11,1.76,1.58,1330,1281,-,200,8.5,6.6,119,1,5,23800
9,Land Rover,Land Rover Range Rover Evoque,ECO,2019,75212,Híbrido,200,AUTO,False,Barcelona,4.37,1.9,1.65,1845,1156,-,216,8.5,7.7,176,2,5,37900
10,KIA,KIA Ceed,C,2020,87537,Gasolina,100,MANUAL,False,Madrid,4.31,1.8,1.45,1260,1291,-,183,11.8,5.5,126,2,5,14450
11,Skoda,Skoda Octavia,0_EMISIONES,2020,53475,Híbrido Enchufable,204,AUTO,False,Murcia,4.69,1.83,1.48,1608,1405,-,220,7.7,1.0,79,2,5,26990
12,BMW,BMW X1,C,2018,71790,Diésel,190,AUTO,False,,4.44,1.82,1.6,1625,,-,219,7.8,4.7,123,2,5,27800
13,Hyundai,Hyundai Tucson,C,2018,132777,Diésel,141,AUTO,False,Madrid,4.47,1.85,1.66,1425,1503,-,185,13.7,4.9,129,2,5,20900
14,Mercedes,Mercedes Clase GLC,C,2019,144738,Diésel,170,AUTO,False,Huelva,4.66,1.89,1.64,1845,1600,-,210,8.3,5.9,156,2,5,34300
15,Ford,Ford EcoSport,C,2018,88534,Gasolina,140,MANUAL,False,Barcelona,4.1,1.77,1.65,1280,1238,-,188,11.8,5.2,119,2,5,14990
16,Renault,Renault Kadjar,C,2019,57969,Diésel,115,MANUAL,False,Murcia,4.49,1.84,1.61,1531,1478,-,189,11.7,4.3,113,2,5,19250
17,Opel,Opel Corsa,C,2017,119746,Gasolina,90,MANUAL,False,Madrid,4.02,1.75,1.48,1163,1120,-,175,13.2,5.2,120,2,5,9750
18,Volkswagen,Volkswagen Tiguan,C,2019,44720,Gasolina,130,MANUAL,False,Murcia,4.49,1.84,1.65,1520,1655,-,192,10.2,7.0,130,2,5,23900
19,Seat,Seat León,C,2015,62090,Gasolina,110,MANUAL,False,Barcelona,4.26,1.82,1.46,1213,1210,-,194,9.9,4.9,114,2,5,12300
20,Honda,Honda HR-V,C,2019,1016600,Gasolina,130,MANUAL,True,Valencia,4.33,1.77,1.61,1241,1533,-,192,10.7,5.8,132,2,5,19990
21,Dacia,Dacia Duster,ECO,2021,22713,GLP,100,MANUAL,True,Sevilla,4.34,1.8,1.69,1339,1478,-,,128.0,,,2,5,15490
22,Opel,Opel Crossland X,C,2018,60025,Gasolina,130,MANUAL,True,Alicante,4.21,1.83,1.61,1274,1255,-,206,9.1,5.1,116,2,5,12990
23,KIA,KIA Ceed,B,2013,116528,Diésel,90,MANUAL,True,Murcia,4.31,1.78,1.47,1365,1318,-,170,13.5,4.3,114,2,5,8990
24,BMW,BMW Serie 1,C,2019,84775,Diésel,150,MANUAL,False,Madrid,4.32,1.8,1.43,1475,1200,-,218,9.3,4.1,108,2,5,24990
25,Seat,Seat Ateca,C,2018,80943,Diésel,115,MANUAL,False,Madrid,4.36,1.84,1.62,1428,,-,184,11.5,4.6,120,2,5,21490
26,Volkswagen,Volkswagen Golf,C,2016,94367,Gasolina,125,AUTO,True,Madrid,4.26,1.8,1.45,1249,1270,-,204,9.1,5.0,116,2,5,16500
27,Audi,Audi A3,C,2018,90695,Diésel,116,AUTO,False,Murcia,4.31,1.79,1.43,1360,1220,-,202,10.2,4.0,106,2,5,18200
28,Nissan,Nissan QASHQAI,ECO,2022,36017,Híbrido,158,AUTO,True,Barcelona,4.43,1.84,1.63,1570,1593,-,198,9.9,6.4,144,1,5,21652
29,Mazda,Mazda CX-30,ECO,2020,61031,Gasolina,122,AUTO,False,Sevilla,4.39,1.8,1.54,1347,,-,186,11.2,6.6,151,2,5,22790
30,Hyundai,Hyundai i10,C,2020,57328,Gasolina,84,AUTO,False,Madrid,3.67,1.68,1.48,935,1050,-,171,15.8,4.5,103,2,5,15200
31,Dacia,Dacia Duster,C,2020,70586,Gasolina,130,MANUAL,False,Murcia,4.34,1.8,1.69,1234,1478,-,191,11.1,6.1,134,2,5,16990
32,Volvo,Volvo XC40,C,2019,51348,Gasolina,156,MANUAL,True,Cádiz,4.43,1.86,1.65,1645,1308,-,200,9.4,6.2,144,2,5,24990
33,Peugeot,Peugeot Rifter,C,2021,22208,Diésel,130,MANUAL,False,Alicante,4.4,1.85,1.82,1430,1355,-,184,5.5,145.0,,2,5,25590
34,Citroën,Citroën Grand C4 Picasso,C,2017,160453,Diésel,120,MANUAL,True,Barcelona,4.6,1.83,1.64,1347,,-,189,12.1,4.0,106,2,5,12950
35,Seat,Seat Arona,C,2021,7307,Gasolina,110,AUTO,False,Zaragoza,4.15,1.78,1.54,1233,,-,190,10.1,4.8,134,2,5,19590
36,Ford,Ford Focus,C,2016,92760,Gasolina,125,MANUAL,False,Barcelona,4.36,1.82,1.47,1280,1215,-,193,11.0,4.7,108,2,5,10200
37,Nissan,Nissan QASHQAI,B,2011,140792,Diésel,150,MANUAL,False,Sevilla,4.32,1.78,1.62,1520,1513,-,191,10.5,6.6,174,2,5,11900
38,Renault,Renault Trafic,C,2016,157121,Diésel,125,MANUAL,False,Girona,5.0,1.96,2.5,1822,,-,174,6.8,175.0,,2,5,16490
39,Renault,Renault Clio,C,2018,89798,Gasolina,90,MANUAL,True,Madrid,4.06,1.73,1.45,1090,1146,-,178,12.1,5.0,113,2,5,13500
40,Volkswagen,Volkswagen Polo,C,2018,103562,Gasolina,115,AUTO,False,Madrid,4.05,1.75,1.46,1180,1125,-,187,10.8,4.8,109,2,5,15900
41,Dacia,Dacia Lodgy,ECO,2019,62759,GLP,102,MANUAL,True,Barcelona,4.52,1.77,1.68,1170,2617,-,172,11.7,8.5,145,2,5,15750
42,Ford,Ford Fiesta,C,2022,25691,Gasolina,200,MANUAL,True,Sevilla,4.09,1.74,1.49,1280,1093,-,230,6.5,6.4,151,2,5,27990
43,Toyota,Toyota Yaris Cross,ECO,2022,25445,Híbrido,116,AUTO,True,Madrid,4.18,1.77,1.6,1245,1097,-,170,11.2,5.0,112,2,5,23700
44,Peugeot,Peugeot 308,C,2020,81785,Gasolina,130,AUTO,False,Madrid,4.25,1.8,1.46,1279,1309,-,205,5.9,134.0,,2,5,15990
45,Renault,Renault Kangoo Combi,C,2018,56472,Diésel,90,MANUAL,False,Sevilla,4.28,1.83,1.84,1320,,-,160,4.3,112.0,,1,5,15800
46,Mazda,Mazda CX-5,C,2015,130612,Diésel,150,MANUAL,False,Barcelona,4.56,1.84,1.71,1495,1620,-,202,9.2,4.6,119,2,5,14400
47,Renault,Renault Captur,C,2021,60867,Gasolina,130,MANUAL,True,Madrid,4.23,1.8,1.58,1234,1275,-,195,10.6,5.4,131,2,5,20300
48,Mercedes,Mercedes Clase A,C,2019,89875,Gasolina,190,AUTO,False,Vizcaya,4.42,1.8,1.45,1450,1210,-,240,6.9,6.2,141,1,5,29450
49,Seat,Seat León,C,2013,120024,Gasolina,122,MANUAL,True,Valencia,4.27,1.78,1.44,1224,,-,202,9.3,5.2,120,2,5,11990
50,Peugeot,Peugeot Partner,C,2016,124092,Diésel,100,MANUAL,False,Castellón,4.38,1.86,1.86,1320,,-,166,4.3,113.0,,2,5,12800
51,Peugeot,Peugeot 208,C,2018,110323,Gasolina,82,MANUAL,True,Madrid,3.97,1.74,1.46,1040,1076,-,175,12.2,4.5,109,2,5,8200
52,KIA,KIA Sportage,ECO,2019,72031,Híbrido,136,AUTO,False,Zaragoza,4.5,1.86,1.65,1605,1480,-,180,11.8,4.2,117,2,5,25800
53,Audi,Audi A3,ECO,2022,18541,Híbrido,150,AUTO,True,Valencia,4.5,1.82,1.43,1395,,-,232,8.4,5.8,111,2,5,34800
54,Ford,Ford Fiesta,C,2014,125852,Gasolina,100,MANUAL,True,Barcelona,3.97,1.72,1.5,1101,974,-,180,11.2,4.3,105,2,5,10200
55,Mercedes,Mercedes Clase A,B,2014,147880,Diésel,109,AUTO,False,Madrid,4.29,1.78,1.43,1395,1157,-,190,11.3,3.8,98,2,5,14990
56,Ford,Ford Focus,C,2018,97697,Gasolina,125,MANUAL,False,Madrid,4.38,1.83,1.45,1322,1320,-,199,10.0,4.9,111,2,5,14990
57,Dacia,Dacia Duster,C,2016,103511,Diésel,109,MANUAL,False,Oviedo,4.32,1.82,1.7,1280,1636,-,169,11.8,4.4,115,2,5,12990
58,Volvo,Volvo V40,C,2018,98669,Diésel,150,AUTO,False,Madrid,4.37,1.8,1.44,1577,1032,-,210,8.4,4.1,104,2,5,15082
59,Mazda,Mazda CX-30,ECO,2023,18878,Híbrido,150,MANUAL,False,Madrid,4.39,1.8,1.54,1320,1406,-,198,8.8,5.9,134,2,5,26900
60,Mini,Mini MINI,C,2015,161767,Gasolina,136,AUTO,False,Barcelona,3.82,1.73,1.42,1190,731,-,210,7.8,4.7,109,2,5,12990
61,Audi,Audi A3,C,2018,101352,Gasolina,150,AUTO,False,Madrid,4.46,1.8,1.42,1325,,-,224,8.2,5.0,113,2,5,21990
62,Suzuki,Suzuki Jimny,C,2012,95169,Gasolina,85,MANUAL,False,Valencia,3.67,1.6,1.75,1070,816,-,140,14.1,7.1,162,2,4,13250
63,Seat,Seat Alhambra,C,2019,69680,Diésel,150,MANUAL,False,Valencia,4.85,1.9,1.72,1772,2430,-,200,10.3,5.0,130,2,5,22900
64,Volvo,Volvo V40,C,2019,37284,Diésel,120,MANUAL,False,Valencia,4.37,1.8,1.44,1561,1032,-,190,10.5,4.6,122,2,5,17500
65,Peugeot,Peugeot 5008,C,2018,118305,Diésel,130,MANUAL,False,Sevilla,4.64,1.84,1.65,1365,1940,-,191,12.7,4.2,109,2,5,20900
66,Opel,Opel Adam,C,2015,37863,Gasolina,87,MANUAL,True,Alicante,3.7,1.72,1.48,1135,663,-,176,12.5,5.0,118,1,5,10450
67,Citroën,Citroën Jumpy,C,2016,116162,Diésel,115,MANUAL,True,Girona,4.96,1.92,1.89,1571,,-,160,5.2,137.0,,2,5,23900
68,BMW,BMW X1,C,2019,44076,Diésel,150,MANUAL,True,,4.44,1.82,1.6,1580,1550,-,205,9.3,4.6,120,2,5,18553
69,Opel,Opel Astra,C,2018,56297,Diésel,110,MANUAL,False,Sevilla,4.37,1.81,1.49,1360,1210,-,195,11.0,3.7,97,2,5,15990
70,BMW,BMW X4,C,2019,51220,Diésel,190,AUTO,True,Madrid,4.75,1.92,1.62,1815,1430,-,213,8.0,5.0,132,2,5,39500
71,Mini,Mini MINI,C,2018,86400,Gasolina,136,MANUAL,False,Barcelona,3.98,1.73,1.43,1235,941,-,207,8.2,5.5,125,2,5,14990
72,Renault,Renault Kadjar,C,2018,95877,Diésel,130,MANUAL,False,La,4.45,1.84,1.61,1415,1478,-,190,9.9,4.3,113,2,5,19500
73,Toyota,Toyota Yaris,ECO,2021,22594,Híbrido,116,AUTO,True,Madrid,3.94,1.75,1.5,1080,,-,175,10.3,4.3,97,2,5,22490
74,Fiat,Fiat 500X,C,2016,73745,Diésel,120,MANUAL,False,Madrid,4.25,1.8,1.62,1320,1000,-,186,10.5,4.1,109,2,5,13400
75,Dacia,Dacia Dokker,ECO,2020,125924,GLP,109,MANUAL,False,Madrid,4.36,1.75,1.81,1210,,-,170,8.2,143.0,,2,3,13990
76,Volkswagen,Volkswagen Golf,C,2020,86116,Gasolina,130,MANUAL,True,Madrid,4.26,1.79,1.49,1280,1270,-,210,9.1,5.6,126,2,5,18500
77,Renault,Renault Mégane,C,2014,48462,Gasolina,115,MANUAL,True,Badajoz,4.3,1.81,1.47,1205,1162,-,190,10.9,5.3,119,2,5,10390
78,Volkswagen,Volkswagen Polo,C,2018,87654,Gasolina,95,MANUAL,False,Barcelona,4.05,1.75,1.46,1145,1125,-,187,10.8,4.4,101,2,5,13190
79,Dacia,Dacia Sandero,C,2019,29214,Gasolina,90,MANUAL,True,Málaga,4.09,1.76,1.62,1040,1200,-,168,17.5,5.6,125,1,5,12390
80,Nissan,Nissan JUKE,C,2016,105569,Diésel,110,MANUAL,True,Alicante,4.14,1.77,1.57,1305,1189,-,175,11.2,4.0,104,2,5,13390
81,Volkswagen,Volkswagen Sharan,C,2018,124017,Diésel,150,AUTO,False,Albacete,4.85,1.9,1.74,1793,2297,-,198,10.3,5.2,137,2,5,30900
82,Renault,Renault Captur,C,2018,86500,Gasolina,120,AUTO,False,Granada,4.12,1.78,1.57,1202,1235,-,192,10.6,5.5,125,2,5,14500
83,Toyota,Toyota C-HR,ECO,2022,35125,Híbrido,122,AUTO,True,Navarra,4.39,1.8,1.56,1495,1102,-,170,11.0,4.9,111,2,5,20495
84,Peugeot,Peugeot 207,C,2006,99395,Gasolina,75,MANUAL,False,Barcelona,4.03,1.97,1.47,1213,,-,170,13.9,6.3,150,2,2,4450
85,Renault,Renault Clio,C,2017,125712,Gasolina,120,MANUAL,True,La,4.06,1.73,1.45,1090,1146,-,199,9.0,5.3,118,2,5,12450
86,Hyundai,Hyundai i10,C,2010,71452,Gasolina,78,MANUAL,False,Castellón,3.57,1.6,1.54,930,889,-,164,12.8,5.0,119,1,5,6300
87,KIA,KIA Ceed Tourer,C,2021,42508,Gasolina,120,MANUAL,True,Pontevedra,4.6,1.8,1.47,1349,1694,-,190,11.4,5.3,121,1,5,15900
88,Fiat,Fiat 500,C,2019,24001,Gasolina,69,AUTO,True,Alicante,3.57,1.63,1.49,865,550,-,160,12.9,5.4,122,2,5,14350
89,Volvo,Volvo S40,C,2006,178357,Gasolina,100,MANUAL,True,Madrid,4.47,1.77,1.45,1249,,-,185,11.9,7.2,171,2,2,3500
90,Toyota,Toyota Rav4,C,2015,97431,Diésel,143,MANUAL,True,Barcelona,4.61,1.85,1.68,1535,,-,195,9.6,4.7,124,2,5,20490
91,Hyundai,Hyundai i20,C,2016,34946,Gasolina,85,MANUAL,True,Barcelona,4.0,1.71,1.49,970,1060,-,168,12.7,4.9,114,2,5,11250
92,Cupra,Cupra Formentor,C,2023,5732,Gasolina,390,AUTO,False,Sevilla,4.47,1.85,1.51,1683,,-,250,4.2,10.1,230,2,5,57900
93,Citroën,Citroën C8,B,2008,206597,Diésel,120,MANUAL,False,Huelva,4.73,1.85,1.86,1811,2948,-,180,12.9,6.9,182,2,5,2900
94,Citroën,Citroën Grand C4 Picasso,C,2016,96050,Diésel,120,MANUAL,True,Madrid,4.6,1.83,1.64,1422,,-,189,12.1,4.0,105,2,5,15500
95,Ford,Ford Transit Custom,ECO,2022,95064,Híbrido,130,MANUAL,False,La,4.97,2.08,2.02,1860,,-,180,,,,1,5,21950
96,Peugeot,Peugeot 508,B,2011,157772,Diésel,163,MANUAL,True,Alicante,4.79,1.85,1.46,1555,,-,,129.0,,,2,5,9500
97,KIA,KIA Sportage,ECO,2022,30101,Híbrido,150,MANUAL,True,Málaga,4.51,1.87,1.65,1630,1751,-,182,10.3,6.6,148,2,5,26500
98,Honda,Honda Civic,C,2016,100444,Gasolina,310,MANUAL,False,Barcelona,4.39,1.88,1.47,1382,1404,-,270,5.7,7.3,170,2,5,29890
99,Ford,Ford Tourneo Courier,C,2017,149677,Gasolina,100,MANUAL,False,Barcelona,4.16,1.76,1.73,1190,1656,-,173,12.3,5.2,120,2,5,12500
100,Nissan,Nissan X-TRAIL,C,2018,112876,Diésel,130,MANUAL,False,Vizcaya,4.69,1.82,1.74,1505,1996,-,188,10.5,5.1,133,2,5,19990
101,Ford,Ford Kuga,C,2019,114680,Diésel,120,MANUAL,False,Barcelona,4.52,1.84,1.75,1751,1603,-,180,13.4,5.2,167,2,5,16300
102,Mercedes,Mercedes EQB,0_EMISIONES,2021,58492,Eléctrico,228,AUTO,False,Murcia,4.68,1.83,1.69,2175,1710,-,160,8.0,420.0,,2,5,44500
103,Cupra,Cupra Formentor,C,2021,48520,Gasolina,150,AUTO,True,Barcelona,4.45,1.84,1.52,1463,,-,203,8.9,6.8,152,1,5,28490
104,Renault,Renault Arkana,ECO,2021,91563,Híbrido,140,AUTO,True,Barcelona,4.57,1.82,1.58,1402,1296,-,205,9.8,6.1,133,2,5,20900
105,Seat,Seat Arona,C,2019,57662,Gasolina,115,MANUAL,True,Barcelona,4.14,1.78,1.55,1189,,-,190,9.8,5.1,114,2,5,16200
106,Volkswagen,Volkswagen Tiguan,C,2019,148150,Diésel,240,AUTO,True,Ciudad,4.49,1.84,1.67,1815,1655,-,212,6.2,8.0,162,2,5,24338
107,Dacia,Dacia Lodgy,C,2022,35651,Diésel,115,MANUAL,False,Alicante,4.52,1.77,1.68,1289,1861,-,177,11.0,5.0,130,1,5,15619
108,Citroën,Citroën C4,B,2015,137583,Diésel,92,MANUAL,False,Barcelona,4.33,1.79,1.5,1205,1183,-,180,12.9,4.2,109,2,5,8950
109,Renault,Renault Clio,C,2018,51680,Gasolina,90,MANUAL,True,Vizcaya,4.06,1.73,1.45,1090,1146,-,178,12.1,5.0,113,2,5,12450
110,Mercedes,Mercedes Clase GLE,C,2017,53798,Diésel,204,AUTO,False,Barcelona,4.82,1.94,1.79,2150,2010,-,210,8.6,5.9,155,2,5,46950
111,Mazda,Mazda CX-30,ECO,2022,95012,Híbrido,186,AUTO,False,Alicante,4.39,1.8,1.54,1443,1406,-,204,8.8,6.1,138,2,5,20867
112,Peugeot,Peugeot 308,C,2016,120867,Diésel,120,MANUAL,False,Madrid,4.25,1.8,1.46,1160,1309,-,196,9.7,3.8,98,2,5,12390
113,Nissan,Nissan Micra,B,2005,65302,Gasolina,65,MANUAL,True,Ciudad,3.72,1.66,1.54,957,,-,154,16.3,5.9,143,2,1,4900
114,Mercedes,Mercedes Clase A,C,2013,111000,Gasolina,122,MANUAL,False,Barcelona,4.29,1.78,1.43,1370,1157,-,202,9.2,5.5,128,2,5,14350
115,KIA,KIA Carens,C,2018,52511,Gasolina,135,MANUAL,False,,4.53,1.81,1.61,1505,1694,-,185,11.3,6.5,150,2,5,16450
116,Volvo,Volvo V40,C,2017,115349,Diésel,120,MANUAL,False,Valencia,4.37,1.8,1.44,1561,1032,-,190,10.5,3.4,89,1,5,14300
117,Mazda,Mazda CX-3,C,2022,53508,Gasolina,121,MANUAL,True,Málaga,4.28,1.77,1.54,1259,1260,-,192,9.0,6.2,140,2,5,20250
118,Peugeot,Peugeot 208,C,2016,13286,Diésel,100,MANUAL,True,Sevilla,3.97,1.74,1.46,1165,1076,-,187,10.7,3.5,90,2,5,12300
119,Citroën,Citroën C4 Spacetourer,C,2019,84329,Diésel,130,AUTO,False,Valencia,4.44,1.83,1.63,1320,,-,198,10.2,4.0,106,1,5,19500
120,Citroën,Citroën C3,C,2006,93530,Gasolina,75,MANUAL,True,Granada,3.85,1.67,1.52,1089,1155,-,168,12.4,6.1,145,2,2,3900
121,Jeep,Jeep Compass,C,2019,71764,Diésel,120,MANUAL,False,Sevilla,4.39,1.82,1.64,1519,1251,-,188,10.7,5.0,128,1,5,18900
122,Audi,Audi A3,C,2021,35631,Gasolina,150,MANUAL,True,Barcelona,4.34,1.82,1.45,1335,1200,-,224,8.7,6.0,124,2,5,27800
123,Peugeot,Peugeot 3008,C,2018,120008,Diésel,130,MANUAL,True,Toledo,4.45,1.84,1.62,1417,1482,-,192,10.8,4.2,109,2,5,17400
124,Ford,Ford Transit Custom,ECO,2022,96420,Híbrido,130,MANUAL,False,La,4.97,2.08,2.02,1860,,-,180,,,,1,5,21900
125,Renault,Renault Clio,C,2016,143674,Gasolina,90,MANUAL,False,Toledo,4.06,1.73,1.45,1017,1146,-,182,12.2,4.7,105,2,5,11900
126,Ford,Ford Fiesta,C,2021,77472,Gasolina,100,MANUAL,False,Madrid,4.04,1.74,1.48,1091,1093,-,180,10.8,5.3,119,2,5,12990
127,Peugeot,Peugeot 508,C,2022,116433,Diésel,130,AUTO,False,Pontevedra,4.79,1.86,1.42,1430,1780,-,210,10.1,4.8,124,1,5,19250
128,Ford,Ford Puma,ECO,2023,13153,Híbrido,125,MANUAL,True,Vizcaya,4.21,1.81,1.54,1280,1161,-,191,9.8,5.6,121,2,5,20700
129,Toyota,Toyota Auris,ECO,2016,56096,Híbrido,136,AUTO,True,,4.33,1.76,1.48,1385,,-,180,10.9,3.9,91,2,5,15400
130,Fiat,Fiat 500,C,2008,124036,Gasolina,100,MANUAL,True,Castellón,3.55,1.63,1.49,930,550,-,182,10.5,6.3,149,2,5,7350
131,Mazda,Mazda CX-5,C,2019,90539,Gasolina,165,MANUAL,False,Gipuzkoa,4.55,1.84,1.68,1518,1620,-,201,10.3,7.4,168,2,5,20450
132,Peugeot,Peugeot 508,B,2013,211894,Diésel,163,MANUAL,False,Barcelona,4.81,1.85,1.48,1575,1865,-,222,8.9,5.0,130,2,5,7750
133,KIA,KIA Ceed,C,2019,98924,Diésel,115,MANUAL,False,Córdoba,4.31,1.8,1.45,1388,1291,-,192,10.9,3.9,99,2,5,16800
134,Citroën,Citroën C5 Aircross,C,2019,61283,Diésel,177,AUTO,True,Barcelona,4.5,1.97,1.69,1615,1630,-,211,8.6,4.7,124,2,5,23290
135,BMW,BMW Serie 1,C,2020,95875,Diésel,150,AUTO,False,Murcia,4.32,1.8,1.43,1475,1200,-,218,9.3,4.7,122,2,5,20900
136,Fiat,Fiat 500L,C,2016,75964,Diésel,95,MANUAL,False,Murcia,4.15,1.78,1.67,1315,1480,-,165,14.9,4.2,107,2,5,9990
137,Peugeot,Peugeot Traveller,C,2021,48372,Diésel,145,AUTO,False,Sevilla,4.96,1.92,1.9,1763,798,-,179,12.6,7.1,186,2,5,32500
138,Fiat,Fiat 500,C,2020,58430,Gasolina,69,MANUAL,False,Valencia,3.57,1.63,1.49,865,550,-,160,12.9,4.9,111,1,5,9800
139,Fiat,Fiat Doblò Cargo,C,2021,120395,Diésel,95,MANUAL,True,Castellón,4.41,1.83,1.85,1320,,-,5,124.0,,,1,5,11390
140,Mercedes,Mercedes GLB,C,2022,27196,Diésel,150,AUTO,True,La,4.63,1.83,1.66,1680,1805,-,204,9.0,5.5,144,2,5,46500
141,Volkswagen,Volkswagen Polo,C,2015,108608,Gasolina,75,MANUAL,True,Sevilla,3.97,1.68,1.45,1055,952,-,173,14.3,4.8,108,2,3,9590
142,Volkswagen,Volkswagen Polo,C,2020,120174,Gasolina,115,AUTO,True,Almería,4.05,1.75,1.46,1190,1125,-,200,9.5,6.0,108,2,5,17500
143,Nissan,Nissan Pixo,C,2009,150729,Gasolina,68,MANUAL,False,Madrid,3.57,1.6,1.47,855,774,-,155,14.0,4.4,103,2,1,4500
144,Ford,Ford Fiesta,ECO,2022,57963,Híbrido,125,MANUAL,False,Sevilla,4.07,1.74,1.48,1211,1093,-,200,9.4,5.0,114,2,5,15950
145,Opel,Opel Astra,B,2014,94208,Diésel,130,MANUAL,True,Barcelona,4.42,1.81,1.51,1503,1235,-,198,10.6,4.3,110,2,5,9450
146,Volkswagen,Volkswagen Polo,B,2004,199505,Gasolina,75,MANUAL,False,Madrid,3.9,1.65,1.47,1065,1030,-,172,12.9,6.4,154,1,2,2500
147,Volvo,Volvo XC60,C,2018,87814,Diésel,150,MANUAL,False,Barcelona,4.69,1.9,1.66,1764,1432,-,190,10.2,5.0,131,2,5,24790
148,Mazda,Mazda CX-5,C,2016,179232,Diésel,150,AUTO,False,Girona,4.56,1.84,1.71,1570,1620,-,194,10.2,5.5,144,2,5,15400
149,Volkswagen,Volkswagen Golf,B,2014,55524,Diésel,150,MANUAL,False,Barcelona,4.26,1.8,1.45,1354,1270,-,216,8.6,4.1,106,2,5,17500
150,Mercedes,Mercedes GLA,C,2017,78624,Diésel,136,AUTO,False,,4.42,1.8,1.49,1505,1235,-,205,9.5,4.2,110,2,5,22990
151,Audi,Audi A1,C,2015,95911,Diésel,90,MANUAL,False,Madrid,3.97,1.75,1.42,1195,920,-,182,11.6,3.4,91,2,5,12900
152,Mazda,Mazda Mazda3,ECO,2022,39094,Híbrido,186,MANUAL,False,Santander,4.46,1.8,1.44,1274,1026,-,216,8.2,5.2,118,2,5,25990
153,Ford,Ford Fiesta,ECO,2022,29554,Híbrido,125,MANUAL,False,Málaga,4.07,1.74,1.51,1211,1093,-,200,9.4,5.1,116,2,5,17300
154,Ford,Ford Transit Connect,C,2021,129836,Diésel,100,MANUAL,True,Toledo,4.82,1.84,1.83,1435,,-,160,4.9,137.0,,2,5,15200
155,Hyundai,Hyundai Tucson,C,2018,137375,Diésel,115,MANUAL,True,Madrid,4.47,1.85,1.66,1425,1503,-,176,13.7,4.6,119,2,5,17990
156,Seat,Seat Ibiza,C,2016,76839,Gasolina,90,MANUAL,False,Barcelona,4.06,1.69,1.45,1089,847,-,184,10.7,4.9,116,1,5,11990
157,Mercedes,Mercedes Clase A,C,2020,96114,Diésel,116,AUTO,False,Girona,4.42,1.8,1.44,1425,1185,-,202,10.6,4.6,120,2,5,25990
158,Chevrolet,Chevrolet Aveo,C,2012,129273,Gasolina,86,MANUAL,False,Vizcaya,4.4,1.74,1.52,1178,,-,171,13.4,5.5,129,1,2,3800
159,Seat,Seat León,C,2016,134367,Diésel,110,MANUAL,False,,4.26,1.82,1.46,1260,1210,-,194,10.5,4.0,102,1,5,10900
160,Mercedes,Mercedes GLB,C,2022,27196,Diésel,150,AUTO,True,La,4.63,1.83,1.66,1680,1805,-,204,9.0,5.5,144,2,5,46500
161,Volkswagen,Volkswagen Polo,C,2015,108608,Gasolina,75,MANUAL,True,Sevilla,3.97,1.68,1.45,1055,952,-,173,14.3,4.8,108,2,3,9590
162,Volkswagen,Volkswagen Polo,C,2020,120174,Gasolina,115,AUTO,True,Almería,4.05,1.75,1.46,1190,1125,-,200,9.5,6.0,108,2,5,17500
163,Nissan,Nissan Pixo,C,2009,150729,Gasolina,68,MANUAL,False,Madrid,3.57,1.6,1.47,855,774,-,155,14.0,4.4,103,2,1,4500
164,Ford,Ford Fiesta,ECO,2022,57963,Híbrido,125,MANUAL,False,Sevilla,4.07,1.74,1.48,1211,1093,-,200,9.4,5.0,114,2,5,15950
165,Opel,Opel Astra,B,2014,94208,Diésel,130,MANUAL,True,Barcelona,4.42,1.81,1.51,1503,1235,-,198,10.6,4.3,110,2,5,9450
166,Volkswagen,Volkswagen Polo,B,2004,199505,Gasolina,75,MANUAL,False,Madrid,3.9,1.65,1.47,1065,1030,-,172,12.9,6.4,154,1,2,2500
